GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.sbouchet.emn.fil1a,org.sbouchet.emn.fil1A,Hello,0,5,0,0,0,2,0,2,0,2
org.sbouchet.emn.fil1a,org.sbouchet.emn.fil1A,Main,12,0,0,0,4,0,2,0,2,0
